discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type
Skeleton,Women,pyeongchang-2018,Athlete,GOLD,,,1,Great Britain,GB,GBR,https://olympics.com/en/athletes/lizzy-yarnold,Lizzy YARNOLD,207280,TIME
Skeleton,Women,pyeongchang-2018,Athlete,SILVER,,,2,Germany,DE,GER,https://olympics.com/en/athletes/jacqueline-loelling,Jacqueline LOELLING,207730,TIME
Skeleton,Women,pyeongchang-2018,Athlete,BRONZE,,,3,Great Britain,GB,GBR,https://olympics.com/en/athletes/laura-deas,Laura DEAS,207900,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,4,Austria,AT,AUT,https://olympics.com/en/athletes/janine-flock,Janine FLOCK,207920,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,5,Germany,DE,GER,https://olympics.com/en/athletes/tina-hermann,Tina HERMANN,207980,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,6,Germany,DE,GER,https://olympics.com/en/athletes/anna-fernstaedt,Anna FERNSTAEDT,208040,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,7,Latvia,LV,LAT,https://olympics.com/en/athletes/lelde-priedulena,Lelde PRIEDULENA,208490,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,8,Netherlands,NL,NED,https://olympics.com/en/athletes/kimberley-bos,Kimberley BOS,208590,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,9,Canada,CA,CAN,https://olympics.com/en/athletes/elisabeth-vathje,Elisabeth VATHJE,208650,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,10,Canada,CA,CAN,https://olympics.com/en/athletes/jane-channell,Jane CHANNELL,209070,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,11,Switzerland,CH,SUI,https://olympics.com/en/athletes/marina-gilardoni,Marina GILARDONI,209430,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,12,Canada,CA,CAN,https://olympics.com/en/athletes/mirela-rahneva,Mirela RAHNEVA,209520,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,13,United States of America,US,USA,https://olympics.com/en/athletes/katie-uhlaender,Katie UHLAENDER,209610,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,14,Belgium,BE,BEL,https://olympics.com/en/athletes/kim-meylemans,Kim MEYLEMANS,209700,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,15,Republic of Korea,KR,KOR,,Jeong Sophia,209890,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,16,Australia,AU,AUS,https://olympics.com/en/athletes/jackie-narracott,Jackie NARRACOTT,210730,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,17,United States of America,US,USA,https://olympics.com/en/athletes/kendall-wesenberg,Kendall WESENBERG,210920,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,18,Romania,RO,ROU,https://olympics.com/en/athletes/maria-marinela-mazilu,Maria Marinela MAZILU,213920,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,19,Japan,JP,JPN,https://olympics.com/en/athletes/takako-oguchi,Takako OGUCHI,213960,TIME
Skeleton,Women,pyeongchang-2018,Athlete,,,,20,Nigeria,NG,NGR,https://olympics.com/en/athletes/simidele-adeagbo,Simidele ADEAGBO,216780,TIME
Skeleton,Men,pyeongchang-2018,Athlete,GOLD,,,1,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/sungbin-yun,Sungbin YUN,200550,TIME
Skeleton,Men,pyeongchang-2018,Athlete,SILVER,,,2,Olympic Athletes from Russia,,OAR,https://olympics.com/en/athletes/nikita-tregubov,Nikita TREGUBOV,202180,TIME
Skeleton,Men,pyeongchang-2018,Athlete,BRONZE,,,3,Great Britain,GB,GBR,https://olympics.com/en/athletes/dom-parsons,Dom PARSONS,202200,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,4,Latvia,LV,LAT,https://olympics.com/en/athletes/martins-dukurs,Martins DUKURS,202310,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,5,Latvia,LV,LAT,https://olympics.com/en/athletes/tomass-dukurs,Tomass DUKURS,202740,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,6,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/jisoo-kim,Jisoo KIM,202980,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,7,Germany,DE,GER,https://olympics.com/en/athletes/axel-jungk,Axel JUNGK,203600,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,8,Germany,DE,GER,https://olympics.com/en/athletes/christopher-grotheer,Christopher GROTHEER,204050,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,9,Germany,DE,GER,https://olympics.com/en/athletes/alexander-gassner,Alexander GASSNER,204100,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,10,Great Britain,GB,GBR,https://olympics.com/en/athletes/jerry-rice,Jerry RICE,204240,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,11,United States of America,US,USA,https://olympics.com/en/athletes/matt-antoine,Matt ANTOINE,204390,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,12,Ukraine,UA,UKR,https://olympics.com/en/athletes/vladyslav-heraskevych,Vladyslav HERASKEVYCH,204470,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,13,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/wenqiang-geng,Wenqiang GENG,204650,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,14,New Zealand,NZ,NZL,https://olympics.com/en/athletes/rhys-thornbury,Rhys THORNBURY,204720,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,15,Olympic Athletes from Russia,,OAR,https://olympics.com/en/athletes/vladislav-marchenkov,Vladislav MARCHENKOV,205180,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,16,United States of America,US,USA,https://olympics.com/en/athletes/john-daly,John DALY,205350,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,17,Canada,CA,CAN,https://olympics.com/en/athletes/kevin-boyer,Kevin BOYER,205400,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,18,Austria,AT,AUT,https://olympics.com/en/athletes/matthias-guggenberger,Matthias GUGGENBERGER,205730,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,19,Australia,AU,AUS,https://olympics.com/en/athletes/john-farrow,John FARROW,205880,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,20,Norway,,NOR,https://olympics.com/en/athletes/alexander-henning-hanssen,Alexander Henning HANSSEN,205890,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,21,Canada,CA,CAN,https://olympics.com/en/athletes/dave-greszczyszyn,Dave GRESZCZYSZYN,154610,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,22,Japan,JP,JPN,https://olympics.com/en/athletes/hiroatsu-takahashi,Hiroatsu TAKAHASHI,154690,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,23,Spain,ES,ESP,https://olympics.com/en/athletes/ander-mirambell,Ander MIRAMBELL,155290,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,24,Canada,CA,CAN,https://olympics.com/en/athletes/barrett-martineau,Barrett MARTINEAU,155400,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,25,Romania,RO,ROU,https://olympics.com/en/athletes/dorin-velicu,Dorin VELICU,155440,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,26,Japan,JP,JPN,https://olympics.com/en/athletes/katsuyuki-miyajima,Katsuyuki MIYAJIMA,155580,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,27,Italy,IT,ITA,https://olympics.com/en/athletes/joseph-luke-cecchini,Joseph Luke CECCHINI,155640,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,28,Israel,IL,ISR,https://olympics.com/en/athletes/adam-edelman,Adam EDELMAN,157260,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,29,Jamaica,JM,JAM,,Anthony Watson,160520,TIME
Skeleton,Men,pyeongchang-2018,Athlete,,,,30,Ghana,GH,GHA,https://olympics.com/en/athletes/akwasi-frimpong,Akwasi FRIMPONG,162120,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,GOLD,,,1,Netherlands,NL,NED,https://olympics.com/en/athletes/sven-kramer,Sven KRAMER,369760,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,SILVER,,,2,Canada,CA,CAN,https://olympics.com/en/athletes/ted-jan-bloemen,Ted-Jan BLOEMEN,371616,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,BRONZE,,,3,Norway,NO,NOR,https://olympics.com/en/athletes/sverre-lunde-pedersen,Sverre Lunde PEDERSEN,371618,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,4,New Zealand,NZ,NZL,https://olympics.com/en/athletes/peter-michael,Peter MICHAEL,374070,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,5,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/seung-hoon-lee,Seung Hoon LEE,374150,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,6,Belgium,BE,BEL,https://olympics.com/en/athletes/bart-swings-x2516,Bart SWINGS,374570,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,7,Netherlands,NL,NED,https://olympics.com/en/athletes/jan-blokhuijsen-x6421,Jan BLOKHUIJSEN,374750,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,8,Italy,IT,ITA,https://olympics.com/en/athletes/nicola-tumolero,Nicola TUMOLERO,375480,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,9,Japan,JP,JPN,https://olympics.com/en/athletes/seitaro-ichinohe,Seitaro ICHINOHE,376550,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,10,Germany,DE,GER,https://olympics.com/en/athletes/patrick-beckert,Patrick BECKERT,377910,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,11,France,FR,FRA,https://olympics.com/en/athletes/alexis-contin-x1056,Alexis CONTIN,378130,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,12,Germany,DE,GER,https://olympics.com/en/athletes/moritz-geisreiter,Moritz GEISREITER,378340,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,13,Norway,NO,NOR,https://olympics.com/en/athletes/simen-spieler-nilsen,Simen Spieler NILSEN,378390,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,14,Sweden,SE,SWE,https://olympics.com/en/athletes/nils-van-der-poel-x7016,Nils VAN DER POEL,379060,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,15,Netherlands,NL,NED,https://olympics.com/en/athletes/bob-de-vries,Bob DE VRIES,382260,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,16,Japan,JP,JPN,https://olympics.com/en/athletes/ryosuke-tsuchiya,Ryosuke TSUCHIYA,382450,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,17,Switzerland,CH,SUI,https://olympics.com/en/athletes/livio-wenger,Livio WENGER,384160,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,18,Norway,NO,NOR,https://olympics.com/en/athletes/havard-bokko-1,Havard BOKKO,384500,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,19,Italy,IT,ITA,https://olympics.com/en/athletes/davide-ghiotto-x1793,Davide GHIOTTO,389250,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,20,Italy,IT,ITA,https://olympics.com/en/athletes/andrea-giovannini,Andrea GIOVANNINI,390710,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,21,United States of America,US,USA,https://olympics.com/en/athletes/emery-lehman,Emery LEHMAN,391160,TIME
Speed skating,Men’s 5000m,pyeongchang-2018,Athlete,,,,22,Poland,PL,POL,https://olympics.com/en/athletes/adrian-wielgat,Adrian WIELGAT,391710,TIME
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,GOLD,,,1,Japan,JP,JPN,https://olympics.com/en/athletes/nana-takagi,Nana TAKAGI,60,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,SILVER,,,2,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/bo-reum-kim,Bo Reum KIM,40,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,BRONZE,,,3,Netherlands,NL,NED,https://olympics.com/en/athletes/irene-schouten-x3282,Irene SCHOUTEN,20,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,4,Estonia,EE,EST,https://olympics.com/en/athletes/saskia-alusalu-x1159,Saskia ALUSALU,15,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,5,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/dan-li-2,Dan LI,6,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,6,Belarus,BY,BLR,https://olympics.com/en/athletes/maryna-zuyeva,Maryna ZUYEVA,3,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,7,Italy,IT,ITA,https://olympics.com/en/athletes/francesca-lollobrigida-x7476,Francesca LOLLOBRIGIDA,1,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,8,Czech Republic,CZ,CZE,https://olympics.com/en/athletes/nikola-zdrahalova-x0592,Nikola ZDRAHALOVA,1,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,9,Poland,PL,POL,https://olympics.com/en/athletes/luisa-zlotkowska,Luisa ZLOTKOWSKA,1,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,10,People's Republic of China,CN,CHN,,Dan Guo,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,11,United States of America,US,USA,https://olympics.com/en/athletes/heather-bergsma,Heather BERGSMA,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,12,Canada,CA,CAN,https://olympics.com/en/athletes/keri-morrison,Keri MORRISON,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,13,Germany,DE,GER,https://olympics.com/en/athletes/claudia-pechstein,Claudia PECHSTEIN,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,14,Netherlands,NL,NED,https://olympics.com/en/athletes/annouk-van-der-weijden,Annouk VAN DER WEIJDEN,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,15,United States of America,US,USA,https://olympics.com/en/athletes/mia-manganello,Mia MANGANELLO,0,POINTS
Speed skating,Ladies’ Mass Start,pyeongchang-2018,Athlete,,,,16,Italy,IT,ITA,https://olympics.com/en/athletes/francesca-bettrone,Francesca BETTRONE,0,POINTS
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,GOLD,,,1,Norway,NO,NOR,https://olympics.com/en/athletes/havard-lorentzen-1,Havard LORENTZEN,34410,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,SILVER,,,2,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/min-kyu-cha,Min Kyu CHA,34420,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,BRONZE,,,3,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/tingyu-gao,Tingyu GAO,34650,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,4,Finland,FI,FIN,https://olympics.com/en/athletes/mika-poutala-x0830,Mika POUTALA,34680,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,5,Japan,JP,JPN,https://olympics.com/en/athletes/daichi-yamanaka-x6185,Daichi YAMANAKA,34780,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,6,Japan,JP,JPN,https://olympics.com/en/athletes/joji-kato,Joji KATO,34831,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,7,Netherlands,NL,NED,https://olympics.com/en/athletes/ronald-mulder,Ronald MULDER,34839,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,8,Germany,DE,GER,https://olympics.com/en/athletes/nico-ihle-x4691,Nico IHLE,34890,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,9,Netherlands,NL,NED,https://olympics.com/en/athletes/kai-verbij,Kai VERBIJ,34900,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,10,Netherlands,NL,NED,https://olympics.com/en/athletes/jan-smeekens,Jan SMEEKENS,34930,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,11,Canada,CA,CAN,https://olympics.com/en/athletes/alex-boisvert-lacroix,Alex BOISVERT-LACROIX,34934,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,12,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/jun-ho-kim-1,Jun-Ho KIM,35010,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,13,Poland,PL,POL,https://olympics.com/en/athletes/artur-was,Artur WAS,35020,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,14,Japan,JP,JPN,https://olympics.com/en/athletes/tsubasa-hasegawa,Tsubasa HASEGAWA,35080,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,15,United States of America,US,USA,https://olympics.com/en/athletes/mitchell-whitmore-x2171,Mitchell WHITMORE,35130,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,16,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/tae-bum-mo-1,Tae-Bum MO,35154,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,17,Canada,CA,CAN,https://olympics.com/en/athletes/gilmore-junio,Gilmore JUNIO,35158,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,18,Canada,CA,CAN,https://olympics.com/en/athletes/laurent-dubreuil,Laurent DUBREUIL,35160,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,19,Finland,FI,FIN,https://olympics.com/en/athletes/pekka-koskela,Pekka KOSKELA,35192,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,20,Colombia,CO,COL,https://olympics.com/en/athletes/pedro-causil-x3261,Pedro CAUSIL,35196,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,21,Australia,AU,AUS,https://olympics.com/en/athletes/daniel-greig-x7600,Daniel GREIG,35220,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,22,Belarus,BY,BLR,https://olympics.com/en/athletes/ignat-golovatsiuk-x2338,Ignat GOLOVATSIUK,35230,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,23,United States of America,US,USA,https://olympics.com/en/athletes/jonathan-garcia,Jonathan GARCIA,35310,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,24,Kazakhstan,KZ,KAZ,https://olympics.com/en/athletes/stanislav-palkin-x4582,Stanislav PALKIN,35330,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,25,Kazakhstan,KZ,KAZ,https://olympics.com/en/athletes/artyom-krikunov,Artyom KRIKUNOV,35340,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,26,United States of America,US,USA,https://olympics.com/en/athletes/kimani-griffin,Kimani GRIFFIN,35380,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,27,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/yang-tao,Tao YANG,35410,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,28,Norway,NO,NOR,https://olympics.com/en/athletes/henrik-fagerli-rukke-x8910,Henrik Fagerli RUKKE,35500,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,29,Germany,DE,GER,https://olympics.com/en/athletes/joel-dufter,Joel DUFTER,35506,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,30,Italy,IT,ITA,https://olympics.com/en/athletes/mirko-giacomo-nenzi,Mirko Giacomo NENZI,35510,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,31,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/jiaxuan-xie,Jiaxuan XIE,35545,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,32,Belgium,BE,BEL,https://olympics.com/en/athletes/voste,Mathias VOSTE,35546,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,33,Poland,PL,POL,https://olympics.com/en/athletes/piotr-michalski,Piotr MICHALSKI,35640,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,34,Chinese Taipei,TW,TPE,https://olympics.com/en/athletes/sung-ching-yang,Ching-Yang SUNG,35860,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,35,Kazakhstan,KZ,KAZ,https://olympics.com/en/athletes/roman-krech,Roman KRECH,35920,TIME
Speed skating,Men’s 500m,pyeongchang-2018,Athlete,,,,36,Poland,PL,POL,https://olympics.com/en/athletes/artur-nogal,Artur NOGAL,58710,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,GOLD,,,1,Japan,JP,JPN,https://olympics.com/en/athletes/nao-kodaira,Nao KODAIRA,36940,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,SILVER,,,2,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/sang-hwa-lee-2,Sang-Hwa LEE,37330,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,BRONZE,,,3,Czech Republic,CZ,CZE,https://olympics.com/en/athletes/karolina-erbanova-x6066,Karolina ERBANOVA,37340,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,4,Austria,AT,AUT,https://olympics.com/en/athletes/vanessa-herzog-x5649,Vanessa HERZOG,37510,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,5,United States of America,US,USA,https://olympics.com/en/athletes/brittany-bowe,Brittany BOWE,37530,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,6,Netherlands,NL,NED,https://olympics.com/en/athletes/jorien-ter-mors,Jorien TER MORS,37539,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,7,Olympic Athletes from Russia,,OAR,https://olympics.com/en/athletes/angelina-golikova-x7170,Angelina GOLIKOVA,37620,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,8,Japan,JP,JPN,https://olympics.com/en/athletes/arisa-go,Arisa GO,37670,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,9,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/yu-jing,Jing YU,37810,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,10,Canada,CA,CAN,https://olympics.com/en/athletes/marsha-hudey,Marsha HUDEY,37880,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,11,United States of America,US,USA,https://olympics.com/en/athletes/heather-bergsma,Heather BERGSMA,38130,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,12,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/hyun-yung-kim-1,Hyun-Yung KIM,38251,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,13,Japan,JP,JPN,https://olympics.com/en/athletes/erina-kamiya,Erina KAMIYA,38255,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,14,Canada,CA,CAN,https://olympics.com/en/athletes/heather-mclean,Heather MCLEAN,38290,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,15,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/hong-zhang-2,Hong ZHANG,38390,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,True,16,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/min-sun-kim,Min Sun KIM,38534,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,True,16,Germany,DE,GER,https://olympics.com/en/athletes/judith-dannhauer,Judith DANNHAUER,38534,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,18,Norway,NO,NOR,https://olympics.com/en/athletes/hege-bokko-1,Hege BOKKO,38538,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,19,Netherlands,NL,NED,https://olympics.com/en/athletes/anice-das,Anice DAS,38750,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,20,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/ruining-tian,Ruining TIAN,38860,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,21,Kazakhstan,KZ,KAZ,https://olympics.com/en/athletes/yekaterina-aydova-x7832,Yekaterina AYDOVA,38960,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,22,Chinese Taipei,TW,TPE,https://olympics.com/en/athletes/huang-yu-ting,Yu-Ting HUANG,38980,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,23,Netherlands,NL,NED,https://olympics.com/en/athletes/lotte-van-beek,Lotte VAN BEEK,39180,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,24,United States of America,US,USA,https://olympics.com/en/athletes/erin-jackson,Erin JACKSON,39200,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,25,Poland,PL,POL,https://olympics.com/en/athletes/kaja-ziomek,Kaja ZIOMEK,39260,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,26,Italy,IT,ITA,https://olympics.com/en/athletes/yvonne-daldossi-1,Yvonne DALDOSSI,39280,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,27,Norway,NO,NOR,https://olympics.com/en/athletes/ida-njatun-x7368,Ida NJATUN,39330,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,28,Finland,FI,FIN,https://olympics.com/en/athletes/elina-risku-x0673,Elina RISKU,39360,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,29,Italy,IT,ITA,https://olympics.com/en/athletes/francesca-bettrone,Francesca BETTRONE,39520,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,30,Belarus,BY,BLR,https://olympics.com/en/athletes/kseniya-sadouskaya-x2648,Kseniya SADOUSKAYA,39640,TIME
Speed skating,Ladies’ 500m,pyeongchang-2018,Athlete,,,,31,Romania,RO,ROU,https://olympics.com/en/athletes/alexandra-ianculescu-x2893,Alexandra IANCULESCU,40700,TIME
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,GOLD,,,1,Norway,,NOR,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,SILVER,,,2,Republic of Korea,KR,KOR,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,BRONZE,,,3,Netherlands,NL,NED,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,,,,4,New Zealand,NZ,NZL,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,,,,5,Japan,JP,JPN,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,,,,6,Italy,IT,ITA,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,,,,7,Canada,CA,CAN,,,,
Speed skating,Men’s Team Pursuit,pyeongchang-2018,GameTeam,,,,8,United States of America,US,USA,,,,
